Maske,Kennung,Komponente,Bezeichnung,Kosten ( ? /dt ),kg Frichmasse,TS in %,asd,MJ NEL,NDF,Grundfutter NDF,ADF,Lignin,NFC,St?rke,Zucker,Rohprotein,l?sl. Protein,Asche,Kalzium,Phosphor,Magnesium,Kalium,Natrium,Schwefel,Kationen,Anionen
,,Gerstenstroh,2009,,,92.2,92%,4.00,0.79,0.79,,0.06,0.11,,,0.07,0.46,0.06,0.01,0.00,0.00,0.01,0.00,0.00,,
x,PRAXIS SOJA BRAS,Sojaschrot Brasil,0,,,89.4,0.894,7.82,0.122,0,0,0.002,0.257,0,0,0.549,0.2,0.0669,0.0029,0.0071,0.0035,0.0238,2E-05,0.0035,,
x,PRAXIS SOJA ARG,Sojaschrot argent,0,,,88.7,0.887,7.36,0.146,0,0,0.018,0.278,0,0,0.497,0.2,0.0733,0.0037,0.0073,0.0034,0.0246,3E-05,0.0036,,
x,PRAXIS CANOLA MEAL,Rapsschrot,0,,,89.8,0.898,6.90,0.28,0,0,0.086,0.291,,0,0.401,0.3,0.0743,0.0076,0.012,0.005,0.0133,0.00029,0.0076,,
,PRAXIS CANOLA EXP,Rapsexpeller,0,,,91.6,0.916,9.02,0.261,0,0,0.085,0.214,0,0,0.357,0.6,0.0661,0.0071,0.011,0.0041,0.0115,5E-05,0.0062,,
,PRAXIS BEET PULP,"BEET PULP, Dry",0,,,91.3,0.913,6.08,0.318,0,0,0.053,0.492,0,0,0.093,0.4,0.1228,0.0058,0.0007,0.0014,0.0151,0.00191,0.0031,,
x,AGROPRAX STRAW 11,STRAW,0,,,93.7,0.937,4.00,0.86,0.86,0,0.076,0.089,0,0,0.054,0.4,0.0318,0.0029,0.0003,0.0007,0.0045,0.00015,0.0007,,
,PLUM,PEAVINE SILAGE,PEAS,,,34.9,0.349,5.34,0.522,0.522,0,0.075,0.208,0.027,0,0.224,0.0,0,0,0,0,0,0,0,,
,WESTRUP,RYE SILAGE,Gr?nroggen,,,31.3,0.313,5.15,0.575,0.575,0,0.044,0.225,0,0,0.103,0.8,0.093,0.0022,0.0037,0.001,0.025,0.00021,0.0013,,
,BUSSE ,WHOLE PLANT SILAGE,GPS,,,19.8,0.198,4.23,0.651,0.651,0,0.038,0.085,0,0,0.121,0.7,0.1533,0.0037,0.0042,0.0011,0.0314,5E-05,0.002,,
,EVERS,RYE SILAGE,Roggen GPS 2011,,,17.3,0.173,4.79,0.637,0.637,0,0.023,0.101,0,0,0.152,0.8,0.1305,0.0031,0.0046,0.0012,0.0345,0.00012,0.0016,,
,BROKERING,RYE SILAGE,Roggen GPS 2011,,,29,0.29,4.60,0.653,0.653,0,0.044,0.154,0,0,0.119,0.8,0.0857,0.0021,0.0041,0.001,0.0262,0.00018,0.0016,,
,BREMER GERALD ,CORN GLUTEN FEED,Maisnachmehl,,,87,0.87,7.55,0.205,0.205,0,0.016,0.633,0.605,0,0.1,0.0,0,0,0,0,0,0,0,,
,NACKENHORST,"MINERAL MIX, Dry",MINERAL FEED,,,97.9,0.979,0.00,0,0,0,0,0,0,0,0,0.0,0,0.2326,0.0068,0.0164,0.0029,0.08924,0,,
,NACKENHORST,SMALL GRAIN SILAGE,GPS 11,,,23.8,0.238,4.33,0.601,0.601,0,0.042,0.065,0,0,0.158,0.8,0.1921,0.0033,0.0035,0.0011,0.0294,0.00016,0.0015,,
,SICKERSAFT,"MISC., Dry",Maissickersaft 11,,,4.2,0.042,6.35,0.27,0.27,0,0.026,0,0.057,0,0.18,1.0,0.1865,0.0181,0.0133,0.0086,0.0803,0.00202,0.0028,,
,ROLFES,SMALL GRAIN SILAGE,GPS,,,41.4,0.414,4.69,0.569,0.569,0,0.048,0.113,0,0,0.176,0.6,0.1595,0.0064,0.0039,0.0024,0.0268,0.00266,0.0032,,
,WINTER,MISC HAYLAGE,GPS 2011,,,23.7,0.237,3.96,0.606,0.606,0,0.056,0.039,0,0,0.174,0.6,0.2051,0.0043,0.0038,0.0014,0.0271,0.00101,0.0022,,
,ACHENBACH,MISC HAYLAGE,GPS 2011,,,35.7,0.357,5.06,0.562,0.562,0,0.065,0.253,0,0,0.092,0.6,0.0841,0.004,0.0025,0.0016,0.0105,0.00047,0.0013,,
,ENGELN,DAMP STRAW,Maisstroh 11,,,39.3,0.393,2.12,0.797,0.797,0,0.057,0.03,0,0,0.052,0.5,0.1464,0.0021,0.0014,0.0011,0.0093,0.00016,0.0005,,
,CREMER,"MISC., Dry",Maismehlkleber 11,,,90.4,0.904,7.73,0.289,0.289,0,0.025,0,0.325,0,0.128,0.0,0,0,0,0,0,0,0,,
